City,Checkin Date,Checkout Date,Booked Time,Quantity,Amount,Age,Gender,Hometown,isForeigner
city,2015-02-15,2015-02-16,2014-11-01 11:51:01,1,4500,49,male,high,no
west,2014-11-04,2014-11-05,2014-11-01 21:34:01,1,7700,50,female,highest,no
city,2015-01-15,2015-01-20,2014-11-10 10:24:10,1,22500,26,male,highest,no
city,2015-01-26,2015-01-27,2014-11-10 10:34:10,1,4500,26,male,high,no
west,2014-11-23,2014-11-24,2014-11-10 11:01:10,1,2499,48,male,lowest,no
west,2014-12-03,2014-12-05,2014-11-10 14:58:10,1,7560,30,female,foreign,yes
west,2014-11-20,2014-11-21,2014-11-10 18:50:10,1,3990,59,male,lowest,no
city,2015-01-08,2015-01-10,2014-11-10 19:16:10,1,9000,26,female,highest,no
east,2015-01-31,2015-02-01,2014-11-10 22:04:10,1,3840,45,female,high,no
west,2014-11-14,2014-11-15,2014-11-10 22:54:10,1,3500,31,male,high,no
city,2014-11-23,2014-11-24,2014-11-10 23:42:10,1,3100,41,male,high,no
